id;NUMBER_OF_INSTALMENTS;TYPE_OF_LEASE;CAR_PRICE;DOWNPAYMENT_TO_CAR_PRICE;RESIDUAL_VALUE_TO_CAR_PRICE;LEGAL_FORM_group;WHETHER_CUSTOMER_BEFORE;CUSTOMER_FOR;NET_ASSETS;ANNUAL_TURNOVER_LAST_YEAR;ANNUAL_COSTS;ANNUAL_INCOME_LAST_YEAR;NUMBER_OF_EMPLOYEES;COMPANY_AGE;REGION;PKD_group;PKD_section;EMAIL;PHONE;TYPE_OF_VEHICLE;VEHICLE_AGE;FRAUD
7035;24;FL;51626.02;0.2000;0.2500;capital_company;yes;2;3919000;7146000;0;1019000;0;5;Warszawa_Mazowsze;services;N;NO;YES;PKW;1;NO
7036;36;FL;76803.28;0.4500;0.0100;freelancer;no;0;0;97200;0;77900;1;2;Rzeszow_Podkarpacie_Bieszczady;services;M;NO;YES;PKW;0;NO
7037;36;FL;35245.9;0.1000;0.0100;freelancer;no;0;0;58750.16;0;13854.04;1;9;Gdansk_Gdynia_Pomorze_Gdanskie;services;M;NO;NO;PKW;4;NO
7038;36;FL;29016.39;0.2000;0.0100;capital_company;no;0;3857810.22;5398907.62;0;507867;24;15;Katowice_Gorny_Slask;services;M;YES;YES;PKW;0;NO
7039;36;FL;62295.08;0.3500;0.0100;capital_company;no;0;33659108;0;0;-812429;3;1;Katowice_Gorny_Slask;production;C;NO;NO;PKW;1;NO
7040;24;FL;68032.79;0.4000;0.1900;freelancer;no;0;0;842891;0;495791;6;10;Bydgoszcz_Torun_Kujawy;services;Q;NO;YES;PKW;0;NO
7041;60;FL;78090.16;0.1000;0.0100;capital_company;no;0;41109624;53350899;0;7162968;160;8;Szczecin_Pomorze_Zachodnie;production;C;NO;YES;PKW;0;NO
7042;36;FL;93902.44;0.3000;0.0100;capital_company;yes;3;41109624;53350899;0;7162968;160;12;Szczecin_Pomorze_Zachodnie;production;C;NO;YES;LKW;0;NO
7043;36;FL;90609.76;0.2000;0.0100;capital_company;yes;1;41109624;53350899;0;7162968;160;9;Szczecin_Pomorze_Zachodnie;production;C;NO;YES;PKW;1;NO
7044;36;FL;237124.39;0.2500;0.0100;capital_company;yes;2;41109624;53350899;0;7162968;160;11;Szczecin_Pomorze_Zachodnie;production;C;NO;YES;PKW;0;NO
7045;36;FL;118334.15;0.1000;0.0100;freelancer;yes;0;0;1324596;0;39663;4;5;Zielona_Gora_Lubuskie;sale;G;NO;YES;PKW;0;NO
7046;36;FL;72622.95;0.2000;0.0100;freelancer;no;0;?;210121.75;0;156640.98;2;6;Dolny_Slask;services;H;NO;YES;PKW;0;NO
7047;60;FL;117300;0.2000;0.0100;civil_partnership;no;0;?;484613.45;0;82453.83;2;12;Zielona_Gora_Lubuskie;?;?;NO;YES;PKW;0;NO
7048;60;FL;117300;0.2000;0.0100;civil_partnership;no;0;?;484613.45;0;82453.83;2;12;Zielona_Gora_Lubuskie;?;?;NO;YES;PKW;0;NO
7049;36;FL;49593.5;0.3000;0.0100;personal_company;yes;1;1;5912908;0;699736;0;10;Bydgoszcz_Torun_Kujawy;sale;G;NO;YES;PKW;0;NO
7050;60;FL;106450.82;0.1000;0.0100;civil_partnership;no;0;?;132200;0;66000;0;4;Poznan_Wielkopolska;services;J;NO;YES;PKW;0;NO
7051;36;FL;57811.49;0.3261;0.0100;freelancer;no;0;?;234987.68;2400;180151;0;4;Warszawa_Mazowsze;building;F;NO;YES;PKW;0;NO
7052;36;FL;317213.11;0.3700;0.0000;freelancer;no;0;?;600000;0;40000;15;11;Zielona_Gora_Lubuskie;production;C;NO;YES;PKW;0;NO
7053;36;FL;107400;0.4500;0.0100;freelancer;yes;1;?;2613426;0;351854;3;15;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
7054;24;FL;73000;0.4500;0.1900;capital_company;no;0;247521.76;600017.55;0;-233976.29;3;3;Poznan_Wielkopolska;building;F;NO;YES;PKW;0;NO
7055;60;FL;287200;0.3266;0.2000;freelancer;yes;3;63866479;6806972;0;3570296;5;4;Krakow_Malopolska;services;L;NO;YES;PKW;0;NO
7056;36;FL;187377.05;0.4000;0.0100;freelancer;no;0;0;746838.25;0;710160.54;0;2;Warszawa_Mazowsze;services;M;NO;YES;PKW;0;NO
7057;48;FL;96016.26;0.3000;0.0100;capital_company;yes;3;203616.8;204512.57;0;15720.89;2;18;Gdansk_Gdynia_Pomorze_Gdanskie;services;S;NO;YES;PKW;0;NO
7058;60;FL;112056.91;0.2000;0.0100;freelancer;no;0;?;112757;6000;-21000;2;4;Bydgoszcz_Torun_Kujawy;services;J;NO;NO;PKW;0;NO
7059;36;FL;324390.24;0.2000;0.0100;capital_company;yes;1;19280838;48616261;0;3020077;44;7;Poznan_Wielkopolska;services;H;NO;YES;PKW;0;NO
7060;48;FL;63967.48;0.1000;0.0100;freelancer;no;0;?;352446.53;0;76328.67;1;0;Opole_Dolny_Slask;services;M;NO;YES;PKW;0;NO
7061;60;FL;32704.92;0.1000;0.0100;other;no;0;0;240293.84;0;2190.83;1;15;Szczecin_Pomorze_Zachodnie;services;J;NO;YES;PKW;0;NO
7062;36;FL;57770.49;0.2838;0.0100;freelancer;no;0;?;242876.6;0;199770;1;3;Bialystok_Podlasie;services;Q;NO;YES;PKW;0;NO
7063;36;FL;82297.56;0.3000;0.0100;freelancer;yes;0;?;242876.6;0;199770;1;4;Bialystok_Podlasie;services;Q;NO;YES;PKW;0;NO
7064;36;FL;324590.16;0.3000;0.0100;freelancer;no;0;0;50954.57;0;-136782.87;1;0;Warszawa_Mazowsze;building;F;NO;YES;PKW;0;NO
7065;36;FL;142682.93;0.2000;0.0100;freelancer;yes;1;0;50954.57;0;-136782.87;1;1;Warszawa_Mazowsze;building;F;NO;YES;PKW;0;NO
7066;60;FL;99824.59;0.3005;0.0100;capital_company;no;0;1890261.55;8574749.54;0;616561.66;2;9;Warszawa_Mazowsze;services;M;NO;YES;PKW;0;NO
7067;36;FL;46557.38;0.3000;0.0100;freelancer;no;0;?;250000;0;80000;3;1;Krakow_Malopolska;building;F;NO;YES;PKW;4;NO
7068;36;FL;57959.84;0.2467;0.0518;freelancer;yes;0;6021812.54;11179958;0;818552;60;10;Zielona_Gora_Lubuskie;services;H;NO;YES;PKW;0;NO
7069;36;FL;54754.1;0.2000;0.0100;capital_company;no;0;1614822.6;3799143;0;324032;26;9;Warszawa_Mazowsze;services;L;NO;YES;PKW;1;NO
7070;36;FL;115836;0.2000;0.0100;freelancer;no;0;0;482770;0;100000;3;4;Katowice_Gorny_Slask;building;F;NO;YES;PKW;1;NO
7071;36;FL;120800;0.2500;0.0100;freelancer;yes;1;0;427048.2;0;48742;3;7;Katowice_Gorny_Slask;sale;G;NO;YES;PKW;0;NO
7072;60;FL;48360.66;0.1000;0.0100;freelancer;no;0;0;306251;0;55815;4;14;Koszalin_Pomorze_Srodkowe;services;M;NO;YES;PKW;0;NO
7073;36;FL;33803.28;0.2000;0.0100;capital_company;no;0;464043;674303;0;255953;6;6;Lublin_Chelm;services;H;NO;YES;PKW;0;NO
7074;36;FL;119180.33;0.1956;0.0098;personal_company;no;0;28797957.8;25806472.1;0;3321508.55;151;8;Warszawa_Mazowsze;production;C;NO;YES;PKW;0;NO
7075;36;FL;51475.41;0.2000;0.0100;personal_company;yes;0;28797957.8;25806472.1;0;3321508.55;151;8;Warszawa_Mazowsze;production;C;NO;YES;PKW;0;NO
7076;48;FL;95700;0.2000;0.0100;freelancer;no;0;?;316905.21;0;85043.08;2;5;Gdansk_Gdynia_Pomorze_Gdanskie;services;S;NO;YES;PKW;0;NO
7077;36;FL;86991.87;0.2000;0.0100;freelancer;no;0;0;139826;0;121107;1;15;Lodz_Ziemia_Lodzka;services;J;NO;NO;PKW;0;NO
7078;36;FL;39139.34;0.3000;0.0100;freelancer;no;0;?;193430;0;101187;1;2;Krakow_Malopolska;services;N;YES;YES;PKW;0;NO
7079;60;FL;114709.02;0.2858;0.1000;freelancer;no;0;?;115600;0;73003;1;2;Katowice_Gorny_Slask;services;M;NO;YES;PKW;0;NO
7080;60;FL;114754.1;0.2000;0.1000;freelancer;no;0;?;586508.82;0;132179.3;3;3;Gdansk_Gdynia_Pomorze_Gdanskie;services;H;NO;YES;PKW;0;YES
7081;36;FL;65000;0.2522;0.0100;freelancer;no;0;?;195000;0;26000;4;11;Katowice_Gorny_Slask;?;?;NO;NO;PKW;0;NO
7082;34;FL;75100;0.3000;0.0367;freelancer;no;0;?;1204976.34;0;-80510.26;3;4;Poznan_Wielkopolska;services;H;NO;YES;PKW;1;NO
7083;36;FL;71772;0.1500;0.0100;freelancer;yes;0;?;1204976.34;0;-80510.26;3;4;Poznan_Wielkopolska;services;H;NO;YES;PKW;0;NO
7084;36;FL;71772;0.1500;0.0100;freelancer;yes;0;?;1204976.34;0;-80510.26;3;4;Poznan_Wielkopolska;services;H;NO;YES;PKW;0;NO
7085;49;FL;237804.88;0.0000;0.0100;freelancer;yes;2;?;1204976.34;0;-80510.26;3;6;Poznan_Wielkopolska;services;H;NO;YES;PKW;0;NO
7086;36;FL;36065.57;0.3000;0.0100;civil_partnership;yes;0;0;2746156;0;191626;10;19;Lodz_Ziemia_Lodzka;production;C;NO;YES;PKW;0;NO
7087;36;FL;42195.12;0.2000;0.0100;freelancer;no;0;0;628888;6000;189576;14;20;Lodz_Ziemia_Lodzka;services;M;NO;NO;PKW;0;NO
7088;24;FL;91544.73;0.3000;0.1900;capital_company;no;0;1874583.48;3329538.4;0;444457.23;5;6;Katowice_Gorny_Slask;sale;G;NO;YES;PKW;1;NO
7089;36;FL;54754.1;0.2000;0.0100;freelancer;yes;0;0;813050.42;0;49764.65;6;8;Poznan_Wielkopolska;?;?;NO;NO;PKW;1;NO
7090;60;FL;129621.95;0.3700;0.1000;civil_partnership;yes;0;?;2017941;0;162571;11;9;Opole_Dolny_Slask;building;F;NO;NO;PKW;0;NO
7091;60;FL;130737.69;0.1500;0.0100;freelancer;no;0;0;2851728;0;249150;16;9;Poznan_Wielkopolska;building;F;NO;YES;PKW;0;NO
7092;36;FL;232340.98;0.2134;0.0100;freelancer;no;0;0;1084365.84;0;379322.16;21;4;Lodz_Ziemia_Lodzka;?;?;NO;NO;PKW;0;NO
7093;36;FL;74500;0.2000;0.0100;freelancer;no;0;?;1155747;0;137671;10;5;Katowice_Gorny_Slask;services;H;NO;YES;PKW;0;NO
7094;36;FL;151915.45;0.2508;0.0100;freelancer;yes;3;?;3646886.76;0;236979.49;12;11;Rzeszow_Podkarpacie_Bieszczady;production;A;NO;YES;PKW;0;NO
7095;24;FL;52540.99;0.4500;0.1900;freelancer;no;0;0;450000;0;101000;0;13;Rzeszow_Podkarpacie_Bieszczady;?;?;NO;NO;PKW;0;NO
7096;36;FL;49590.16;0.4500;0.0100;freelancer;no;0;?;181054.2;0;130318.92;0;1;Opole_Dolny_Slask;?;?;NO;YES;PKW;2;NO
7097;36;FL;62786.9;0.4000;0.0100;freelancer;no;0;?;1224220.31;0;335362.54;5;0;Katowice_Gorny_Slask;building;F;NO;YES;PKW;0;NO
7098;36;FL;62934.96;0.4500;0.0100;freelancer;yes;0;?;1224220.31;0;335362.54;5;0;Katowice_Gorny_Slask;building;F;NO;YES;PKW;0;NO
7099;36;FL;60487.79;0.4500;0.0100;freelancer;yes;2;?;1224220.31;0;335362.54;5;3;Katowice_Gorny_Slask;building;F;NO;YES;PKW;0;NO
7100;27;FL;63934.43;0.0500;0.1533;freelancer;no;0;0;196397.37;0;4775.47;1;1;Wroclaw_Dolny_Slask;sale;G;YES;YES;PKW;0;NO
7101;60;FL;108617.89;0.2620;0.1000;freelancer;yes;0;?;107950.07;0;82417.77;1;2;Warszawa_Mazowsze;services;C;NO;NO;PKW;0;NO
7102;36;FL;41788.51;0.1010;0.0100;capital_company;no;0;302089;1968392;0;129194;5;8;Wroclaw_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
7103;60;FL;54135.25;0.1000;0.0100;freelancer;no;0;?;888228.76;0;29792.31;5;11;Poznan_Wielkopolska;production;C;NO;YES;PKW;0;NO
7104;60;FL;65081.97;0.3000;0.0100;civil_partnership;no;0;?;0;0;0;1;0;Wroclaw_Dolny_Slask;services;G;NO;YES;PKW;0;NO
7105;48;FL;151219.51;0.4500;0.0100;freelancer;yes;1;?;1234347;0;447216;2;6;Katowice_Gorny_Slask;production;C;NO;YES;PKW;0;NO
7106;60;FL;104442.62;0.2000;0.0100;freelancer;no;0;?;497862;0;20155;3;1;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
7107;36;FL;51106.56;0.3000;0.0100;freelancer;no;0;0;370704;0;68167;1;3;Lublin_Chelm;services;M;NO;YES;PKW;0;NO
7108;36;FL;37845.53;0.2000;0.0100;freelancer;yes;2;0;10000000;0;600000;16;12;Katowice_Gorny_Slask;sale;G;YES;YES;PKW;0;NO
7109;36;FL;35073.17;0.2000;0.0100;freelancer;yes;2;0;10000000;0;600000;16;11;Katowice_Gorny_Slask;sale;G;YES;YES;PKW;1;NO
7110;36;FL;35073.17;0.2000;0.0100;freelancer;yes;2;0;10000000;0;600000;16;11;Katowice_Gorny_Slask;sale;G;YES;YES;PKW;1;NO
7111;36;FL;37585.37;0.2014;0.0100;freelancer;yes;2;0;10000000;0;600000;16;12;Katowice_Gorny_Slask;sale;G;YES;YES;PKW;0;NO
7112;36;FL;39024.39;0.2000;0.0100;freelancer;yes;2;0;10000000;0;600000;16;12;Katowice_Gorny_Slask;sale;G;YES;YES;PKW;0;NO
7113;36;FL;57527.87;0.4500;0.0100;civil_partnership;no;0;0;169436.4;0;53558.74;3;15;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
7114;36;FL;213008.13;0.2800;0.0100;capital_company;no;0;780633.2;1774000;0;62118;8;?;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
7115;36;FL;203252.03;0.3000;0.0100;capital_company;yes;0;780633.2;1774000;0;62118;8;?;Poznan_Wielkopolska;sale;G;NO;YES;PKW;1;NO
7116;36;FL;38524.59;0.2000;0.0100;capital_company;no;0;5225877;6075889.51;0;216879.83;38;20;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
7117;60;FL;101614.75;0.2000;0.1000;freelancer;no;0;0;134943;0;20503.7;1;13;Katowice_Gorny_Slask;services;H;NO;NO;PKW;0;NO
7118;36;FL;65901.64;0.3000;0.0100;freelancer;no;0;0;81134;0;77499;1;2;Warszawa_Mazowsze;services;J;NO;YES;PKW;1;NO
7119;36;FL;56617.89;0.2500;0.0100;personal_company;yes;0;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7120;36;FL;56869.92;0.2500;0.0100;personal_company;yes;0;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7121;36;FL;32369.12;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7122;36;FL;42856.11;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7123;36;FL;42856.11;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7124;36;FL;42270.73;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7125;36;FL;42570.73;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7126;36;FL;41758.52;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7127;36;FL;42270.73;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7128;36;FL;36829.27;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7129;36;FL;36829.27;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;4;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7130;36;FL;36829.27;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;5;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7131;36;FL;45887.8;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;5;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7132;36;FL;44092.68;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;5;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7133;36;FL;47570.73;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;5;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7134;36;FL;45364.24;0.2000;0.0100;personal_company;yes;1;?;2993489450.00;0;4981261.71;42;5;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7135;36;FL;34699.19;0.2000;0.0100;personal_company;yes;2;?;2993489450.00;0;4981261.71;42;5;Warszawa_Mazowsze;services;C;NO;YES;PKW;1;NO
7136;36;FL;34699.19;0.2000;0.0100;personal_company;yes;2;?;2993489450.00;0;4981261.71;42;5;Warszawa_Mazowsze;services;C;NO;YES;PKW;1;NO
7137;36;FL;50000;0.2000;0.0100;personal_company;yes;2;?;2993489450.00;0;4981261.71;42;6;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7138;36;FL;54227.64;0.2000;0.0100;personal_company;yes;3;?;2993489450.00;0;4981261.71;42;6;Warszawa_Mazowsze;services;C;NO;YES;PKW;0;NO
7139;36;FL;56219.51;0.4500;0.0100;freelancer;no;0;?;120000;6000;90000;1;10;Szczecin_Pomorze_Zachodnie;services;Q;NO;YES;PKW;0;NO
7140;36;FL;42704.92;0.2000;0.0100;capital_company;no;0;14524.52;9143823.04;0;1244296.8;102;15;Krakow_Malopolska;?;?;NO;YES;PKW;0;NO
7141;29;FL;104672.13;0.3524;0.1200;freelancer;no;0;?;96000;0;54000;1;2;Bydgoszcz_Torun_Kujawy;services;M;NO;YES;PKW;0;NO
7142;36;FL;55443.44;0.1500;0.0100;civil_partnership;no;0;?;223740;0;77549;0;0;Poznan_Wielkopolska;services;M;NO;YES;PKW;0;NO
7143;36;FL;115573.77;0.4500;0.0100;civil_partnership;no;0;0;253200;0;125000;2;10;Rzeszow_Podkarpacie_Bieszczady;services;L;NO;YES;PKW;0;NO
7144;36;FL;32786.9;0.2000;0.0100;capital_company;no;0;5315560.93;1986768;0;290403;10;7;Krakow_Malopolska;?;?;NO;YES;PKW;0;YES
7145;36;FL;32786.9;0.2000;0.0100;capital_company;no;0;5315560.93;1986768;0;290403;10;7;Krakow_Malopolska;?;?;NO;YES;PKW;0;YES
7146;36;FL;58714.75;0.2000;0.0100;capital_company;yes;0;5315560.93;1986768;0;290403;10;7;Krakow_Malopolska;?;?;NO;YES;PKW;1;YES
7147;60;FL;53278.69;0.2031;0.0100;civil_partnership;no;0;0;3411938.4;0;150314.46;3;20;Lodz_Ziemia_Lodzka;sale;G;NO;YES;PKW;0;NO
7148;60;FL;51869.92;0.2000;0.0100;civil_partnership;yes;2;0;3411938.4;0;150314.46;3;22;Lodz_Ziemia_Lodzka;sale;G;NO;YES;PKW;1;NO
7149;36;FL;55163.92;0.4500;0.0100;freelancer;no;0;?;0;0;0;1;0;Katowice_Gorny_Slask;services;M;NO;YES;PKW;0;NO
7150;48;FL;56300.81;0.3000;0.0100;freelancer;no;0;?;12000;4800;10000;0;21;Lodz_Ziemia_Lodzka;services;Q;NO;YES;PKW;0;NO
7151;36;FL;284016.39;0.4500;0.0100;personal_company;no;0;1196742.75;4722686.82;0;1594502.61;2;3;Rzeszow_Podkarpacie_Bieszczady;services;F;NO;YES;PKW;1;NO
7152;24;FL;240139.34;0.4500;0.1900;freelancer;no;0;?;3979191.15;0;901662.78;4;40;Gdansk_Gdynia_Pomorze_Gdanskie;?;?;NO;YES;PKW;0;NO
7153;36;FL;79754.1;0.3000;0.0100;freelancer;no;0;0;676722.61;0;46007.87;1;15;Zielona_Gora_Lubuskie;?;?;NO;YES;PKW;0;NO
7154;36;FL;107377.05;0.2000;0.0100;freelancer;no;0;?;800000;0;100000;6;7;Katowice_Gorny_Slask;sale;G;NO;YES;PKW;0;NO
7155;36;FL;102049.18;0.1000;0.0100;capital_company;no;0;11058319.7;754754.74;0;98844.9;15;0;Katowice_Gorny_Slask;services;K;NO;YES;PKW;0;NO
7156;36;FL;115600;0.4500;0.0100;freelancer;yes;3;0;2801760;0;76200;6;5;Poznan_Wielkopolska;sale;G;NO;YES;LKW;0;NO
7157;36;FL;98213.1;0.4500;0.0100;capital_company;no;0;714390;579305;0;95852;13;19;Lublin_Chelm;production;C;NO;YES;PKW;0;NO
