City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Hyderabad,1/16/2017,83.39,140.24,14.4,52.77,12.14,19.03,0.0,21.93,30.43,0.06,0.85,0.07,184.0,Moderate
Delhi,10/10/2019,100.82,215.18,34.75,50.32,54.51,29.71,1.34,13.83,53.51,4.49,36.66,2.06,208.0,Poor
Gurugram,5/26/2019,61.49,122.82,21.01,18.81,32.75,,0.55,14.94,51.54,0.0,0.0,,96.0,Satisfactory
Jorapokhar,9/22/2019,60.6,53.8,8.56,9.43,,6.2,,4.84,9.82,,,,,
Chennai,1/2/2017,40.9,,7.54,15.23,13.56,,0.17,5.64,15.18,0.09,0.05,,64.0,Satisfactory
Mumbai,1/21/2019,51.0,132.19,38.08,17.6,55.68,,2.1,28.3,20.34,1.17,,,160.0,Moderate
Delhi,5/19/2015,89.85,240.31,16.42,75.47,70.51,40.32,8.04,14.58,79.55,1.82,5.59,,319.0,Very Poor
Jaipur,8/18/2017,,,,,,,0.0,,,0.0,0.0,,,
Bengaluru,8/10/2015,21.02,,3.65,8.21,6.26,23.95,1.82,5.16,6.23,34.14,162.98,,83.0,Satisfactory
Jorapokhar,11/14/2019,90.81,168.74,8.74,9.31,,6.33,,22.07,59.11,,,,216.0,Poor
Kolkata,4/17/2020,21.85,45.57,3.88,7.8,11.72,13.43,0.34,7.69,39.34,1.25,6.02,0.29,62.0,Satisfactory
Amritsar,2/2/2018,31.79,96.3,66.62,59.83,141.5,15.06,0.82,2.56,13.11,11.53,7.19,6.0,149.0,Moderate
Jaipur,8/10/2018,34.8,75.27,12.13,24.58,29.78,17.23,0.75,11.08,27.59,0.68,2.46,,69.0,Satisfactory
Patna,3/15/2018,176.83,,16.25,91.67,34.25,,1.79,44.85,76.81,0.41,3.02,0.98,342.0,Very Poor
Mumbai,11/30/2019,87.36,158.29,22.47,44.13,65.12,18.8,1.05,17.05,31.04,8.7,,,186.0,Moderate
Chennai,3/1/2019,114.56,,5.26,11.01,15.91,33.31,0.82,12.89,15.1,0.03,0.0,,102.0,Moderate
Bengaluru,10/28/2018,37.32,96.1,15.03,45.79,47.93,19.55,0.97,6.29,38.38,0.53,2.61,,108.0,Moderate
Visakhapatnam,6/28/2017,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,8/21/2016,48.24,,10.91,15.52,26.43,,10.91,16.16,5.98,6.48,11.94,2.44,283.0,Poor
Hyderabad,6/29/2015,45.88,,31.38,18.72,50.1,,1.3,8.53,12.32,,,,141.0,Moderate
Bengaluru,1/9/2017,43.11,136.23,8.29,44.61,0.0,24.41,0.86,8.12,38.14,6.53,3.66,,87.0,Satisfactory
Delhi,8/28/2017,23.82,,20.79,27.89,2.43,15.6,0.0,2.34,13.61,0.19,0.25,,,
Delhi,9/26/2017,66.12,114.15,23.12,27.52,18.35,34.54,0.6,7.13,30.45,0.25,1.38,0.13,131.0,Moderate
Bengaluru,6/23/2018,23.76,55.83,9.93,23.67,22.5,43.21,1.03,4.7,17.71,0.68,1.45,,66.0,Satisfactory
Gurugram,1/28/2019,97.11,151.06,21.68,34.71,31.22,,1.81,5.6,53.27,0.0,0.0,,213.0,Poor
Ahmedabad,11/20/2018,84.71,,88.34,83.28,83.77,,88.34,70.31,40.06,3.97,32.2,6.81,1295.0,Severe
Chennai,6/20/2019,36.82,55.76,9.37,21.33,24.79,16.13,1.04,10.03,35.7,0.11,2.82,,88.0,Satisfactory
Ahmedabad,11/19/2018,98.6,,90.33,86.74,70.77,,90.33,85.76,52.53,3.97,32.2,6.81,1472.0,Severe
Bengaluru,1/25/2019,35.76,87.96,7.16,31.94,28.37,14.75,0.84,4.79,56.81,0.24,1.35,,109.0,Moderate
Hyderabad,3/27/2018,59.53,124.78,3.6,44.63,26.49,18.75,0.79,9.57,50.92,1.63,9.03,1.71,123.0,Moderate
Brajrajnagar,6/26/2019,24.51,54.19,7.94,15.9,12.49,39.04,1.42,2.57,14.78,5.29,,,95.0,Satisfactory
Bhopal,3/5/2020,31.62,139.82,2.23,20.25,12.67,11.22,0.46,11.88,74.61,,,,129.0,Moderate
Gurugram,9/15/2019,30.04,60.84,6.87,6.7,8.94,,1.58,13.09,29.3,1.99,6.0,,85.0,Satisfactory
Thiruvananthapuram,11/10/2019,9.64,30.39,0.94,2.16,1.68,2.38,1.02,8.68,32.36,,,,63.0,Satisfactory
Bengaluru,2/21/2020,30.24,72.85,4.56,24.85,26.87,12.05,1.0,6.25,40.89,0.28,1.1,,90.0,Satisfactory
Patna,12/22/2019,354.05,,,,,,3.58,9.85,16.59,4.38,10.59,10.24,462.0,Severe
Jaipur,11/7/2019,43.43,86.17,6.41,29.33,28.05,23.35,0.69,10.61,54.77,1.28,9.56,,101.0,Moderate
Chennai,11/2/2019,34.45,70.97,14.04,15.48,22.08,21.3,0.71,6.82,30.83,0.0,2.74,,76.0,Satisfactory
Delhi,2/13/2015,167.01,328.43,32.23,44.61,55.13,83.96,11.26,7.77,27.62,3.53,7.69,11.45,341.0,Very Poor
Bengaluru,1/16/2018,41.35,99.23,7.45,41.68,26.35,36.95,0.92,3.47,59.88,0.0,0.22,,92.0,Satisfactory
Amritsar,4/10/2020,,,,,,,,,,,,,,
Delhi,5/27/2019,64.66,172.68,26.16,53.92,53.14,28.45,1.28,18.9,53.59,3.43,30.03,0.3,163.0,Moderate
Bengaluru,5/21/2018,52.64,58.23,8.66,33.17,19.8,,0.8,4.51,36.12,0.98,1.28,,71.0,Satisfactory
Ahmedabad,11/1/2015,,,,,,,,,,,,,,
Talcher,6/22/2019,23.99,49.42,49.51,6.6,38.96,15.17,1.56,26.7,4.69,0.0,,,86.0,Satisfactory
Delhi,6/19/2016,101.31,101.54,7.47,32.55,34.9,34.93,2.64,9.51,56.24,2.99,6.88,,201.0,Poor
Amaravati,10/1/2018,8.98,37.07,6.59,12.51,12.1,18.93,0.75,8.48,21.47,0.0,0.03,,49.0,Good
Brajrajnagar,4/17/2018,71.55,160.58,6.62,18.11,24.71,9.42,3.5,13.34,22.42,0.0,,,162.0,Moderate
Amaravati,9/28/2019,,,,,,,,,,,,,,
Chennai,6/30/2016,109.5,,10.32,17.81,19.65,3.15,1.08,7.29,9.94,3.42,7.19,,88.0,Satisfactory
Amritsar,11/18/2018,54.93,152.6,27.31,38.26,63.69,9.08,0.0,,19.12,6.48,1.64,10.09,158.0,Moderate
Lucknow,2/11/2020,125.22,,25.5,65.86,55.47,11.12,1.53,9.3,27.96,1.57,5.13,,267.0,Poor
Delhi,10/13/2019,132.57,255.42,43.72,51.27,63.23,34.93,1.65,12.75,44.55,5.05,38.96,3.84,282.0,Poor
Bengaluru,10/25/2018,46.34,121.55,17.54,36.95,45.09,16.93,1.02,6.52,25.3,0.48,1.87,,110.0,Moderate
Amaravati,7/27/2018,11.92,46.76,3.33,7.75,6.92,16.19,0.57,10.97,29.93,0.13,0.05,,85.0,Satisfactory
Mumbai,12/15/2019,69.63,143.27,26.16,40.24,65.19,15.63,1.15,12.47,34.86,5.39,,,128.0,Moderate
Ahmedabad,6/18/2018,55.21,,39.11,35.74,46.62,,39.11,39.57,,4.61,64.19,0.96,497.0,Severe
Hyderabad,1/13/2016,103.44,99.88,21.74,21.93,42.02,10.43,1.22,10.39,53.34,1.48,10.55,1.65,257.0,Poor
Bengaluru,3/4/2016,54.04,137.04,9.52,38.09,25.03,21.95,0.62,2.45,42.21,1.02,0.49,,136.0,Moderate
Hyderabad,10/22/2019,41.03,71.08,8.21,27.1,17.71,9.75,0.65,3.63,14.93,0.99,8.65,2.35,71.0,Satisfactory
Ahmedabad,10/27/2016,122.63,,18.84,16.36,35.2,,18.84,24.52,31.59,4.44,18.43,10.12,390.0,Very Poor
Delhi,2/25/2020,127.75,224.02,27.87,46.76,52.38,39.61,1.22,18.24,35.32,3.12,18.7,0.59,244.0,Poor
Lucknow,9/6/2017,47.98,,11.35,33.03,,,1.49,4.62,18.19,1.5,3.1,,84.0,Satisfactory
Ahmedabad,3/19/2020,101.09,162.86,15.07,43.66,31.13,,15.07,42.07,44.44,2.85,46.56,1.13,988.0,Severe
Delhi,3/18/2020,68.93,162.56,29.29,45.86,53.31,32.99,1.07,14.93,41.73,3.05,28.9,2.21,162.0,Moderate
Ernakulam,6/17/2020,,,,,,,,,,,,,,
Ahmedabad,9/18/2018,28.15,,29.08,88.14,64.7,,29.08,70.24,,3.94,16.02,0.65,580.0,Severe
Lucknow,1/10/2019,123.15,,34.17,45.12,52.2,32.95,1.1,8.18,35.39,0.05,1.35,,270.0,Poor
Delhi,1/16/2016,138.86,220.21,16.26,41.92,56.84,35.05,1.55,11.25,67.4,2.31,4.48,,311.0,Very Poor
Delhi,9/28/2017,75.4,102.91,50.72,38.55,23.52,54.37,0.43,6.08,34.06,0.27,1.54,0.11,176.0,Moderate
Gurugram,8/26/2017,111.01,,3.89,25.0,,,0.94,6.73,39.49,0.0,0.0,,244.0,Poor
Chennai,3/22/2017,35.25,,2.76,7.12,5.53,,0.02,2.49,25.43,0.0,0.0,,57.0,Satisfactory
Guwahati,1/10/2020,159.1,225.9,56.18,12.1,105.19,18.47,1.85,12.84,18.31,8.19,,,331.0,Very Poor
Visakhapatnam,4/11/2020,16.38,38.99,12.22,26.65,24.11,7.86,0.11,5.51,13.98,1.9,9.53,0.89,51.0,Satisfactory
Visakhapatnam,2/12/2018,72.05,116.58,1.59,,0.3,0.23,0.48,9.29,60.2,4.18,9.5,1.52,136.0,Moderate
Gurugram,4/4/2018,97.55,211.96,35.92,19.24,35.87,,1.61,,15.85,,,,204.0,Poor
Lucknow,8/16/2017,67.23,,6.26,41.39,,,1.71,7.68,6.52,1.66,3.13,,97.0,Satisfactory
Brajrajnagar,1/14/2018,,,,,,,,,,,,,,
Patna,12/24/2015,284.03,,86.66,43.49,129.92,,2.16,8.81,22.66,0.43,1.12,0.85,430.0,Severe
Gurugram,9/14/2016,32.01,,,,,,0.72,1.74,8.44,,,,71.0,Satisfactory
Shillong,4/20/2020,,,,,0.0,,0.0,,,0.0,0.0,,,
Chennai,10/8/2017,35.37,,8.06,14.77,12.53,49.16,0.09,10.51,35.85,0.03,0.05,,75.0,Satisfactory
Hyderabad,1/11/2016,71.44,107.05,13.04,19.87,31.26,10.47,1.21,8.01,51.86,1.42,7.31,0.9,159.0,Moderate
Jorapokhar,6/5/2019,,,,,,,,,,,,,,
Chennai,5/25/2016,45.89,,4.72,18.13,17.56,166.02,1.15,5.11,48.96,2.49,7.19,,102.0,Moderate
Jorapokhar,2/21/2020,94.88,245.78,24.5,11.6,,9.34,,43.59,77.15,,,,269.0,Poor
Ahmedabad,10/14/2017,,,,,,,,,,,,,,
Patna,4/14/2020,51.39,134.87,53.48,18.38,42.84,14.49,1.4,9.95,46.98,0.49,3.92,0.36,143.0,Moderate
Talcher,1/30/2019,78.87,339.23,26.28,,24.03,7.14,2.53,23.48,9.33,0.0,,,230.0,Poor
Hyderabad,5/15/2020,24.12,56.89,6.46,23.33,16.59,10.57,0.34,5.38,27.84,1.34,9.9,0.82,60.0,Satisfactory
Kolkata,2/7/2019,180.67,295.97,99.12,130.54,210.32,35.17,1.62,20.81,32.07,11.9,13.05,,350.0,Very Poor
Hyderabad,10/28/2015,81.18,97.96,2.98,0.67,2.5,11.17,1.28,5.4,44.62,1.14,5.91,0.52,227.0,Poor
Lucknow,6/16/2020,31.6,,5.23,9.35,9.23,11.91,1.11,5.93,51.25,10.26,5.56,,76.0,Satisfactory
Jaipur,12/26/2018,54.98,142.13,51.18,41.21,79.21,27.06,1.77,17.73,27.87,2.2,10.1,,122.0,Moderate
Guwahati,3/15/2020,79.96,154.9,8.86,18.55,15.64,13.28,0.37,13.23,19.02,0.17,,,140.0,Moderate
Brajrajnagar,2/17/2020,62.05,144.59,14.81,23.73,27.39,72.84,0.02,4.49,34.47,0.85,,,119.0,Moderate
Lucknow,7/28/2018,43.02,,17.04,30.75,29.64,29.61,1.22,5.46,13.61,0.27,0.47,,83.0,Satisfactory
Bengaluru,2/18/2019,42.92,104.51,29.45,39.84,54.29,17.16,1.23,4.52,48.6,1.03,2.96,,116.0,Moderate
Chandigarh,6/17/2020,20.84,59.04,2.28,7.87,5.14,27.7,0.31,11.98,53.01,3.13,0.39,0.67,72.0,Satisfactory
Bengaluru,7/21/2018,17.44,52.67,6.02,17.69,13.99,20.49,0.83,7.68,21.97,0.5,3.07,,59.0,Satisfactory
Bengaluru,12/14/2015,52.06,56.71,13.51,27.66,21.45,11.98,1.33,4.38,1.87,1.29,1.6,,85.0,Satisfactory
Talcher,1/6/2018,,,,,,,,,,,,,,
Bengaluru,3/10/2020,41.48,89.64,3.92,22.84,23.81,12.71,0.94,7.08,50.57,0.33,1.53,,93.0,Satisfactory
Chennai,11/3/2015,41.96,,11.0,13.78,15.28,65.03,1.34,8.85,44.1,,16.17,,122.0,Moderate
Thiruvananthapuram,12/7/2019,24.68,64.6,8.0,21.04,17.66,10.57,1.34,9.09,39.31,,,,90.0,Satisfactory
Ahmedabad,3/17/2016,,,,,,,,,,,,,,
Mumbai,9/25/2018,33.86,77.88,26.2,25.06,51.09,,1.55,14.14,36.72,0.62,,,92.0,Satisfactory
Lucknow,12/19/2018,157.54,,12.15,50.68,36.4,44.27,2.0,7.75,32.04,0.07,0.84,,310.0,Very Poor
Mumbai,9/12/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Bengaluru,8/21/2018,20.61,77.55,18.5,17.55,29.4,22.57,0.77,5.95,16.38,0.44,1.74,,69.0,Satisfactory
Gurugram,3/3/2016,348.88,,4.16,8.97,7.56,,1.4,14.26,25.18,,,,460.0,Severe
Delhi,4/7/2017,150.76,543.0,61.75,74.99,47.72,51.4,0.35,27.69,35.44,1.68,3.49,,428.0,Severe
Guwahati,6/19/2020,12.18,21.4,1.25,5.73,3.72,2.92,0.38,15.89,22.25,0.0,,,30.0,Good
Amaravati,11/30/2017,69.8,114.86,4.69,20.17,14.54,10.95,0.12,14.07,118.09,0.16,3.52,0.06,165.0,Moderate
Jorapokhar,5/12/2019,,153.82,7.98,7.41,,6.67,2.01,,52.39,,,,187.0,Moderate
Chennai,1/11/2015,,,55.04,49.87,14.65,3.77,0.8,21.75,19.04,0.39,,,,
Brajrajnagar,5/23/2020,,,,,,,,,,,,,,
Ernakulam,5/30/2020,8.58,21.13,5.63,,5.07,22.4,1.7,2.47,,0.12,0.51,0.02,93.0,Satisfactory
Visakhapatnam,4/4/2019,27.02,103.61,20.57,32.42,33.96,4.97,0.87,21.15,4.48,3.23,4.9,1.02,91.0,Satisfactory
Ahmedabad,4/9/2019,73.58,,19.53,63.23,45.42,,19.53,11.56,26.46,4.22,32.51,7.09,493.0,Severe
Ahmedabad,9/17/2016,49.34,,9.75,8.67,18.43,,9.75,15.82,26.39,2.02,6.6,0.97,213.0,Poor
Patna,7/12/2018,44.65,,23.78,82.57,35.81,,1.04,58.06,64.11,3.14,35.21,17.21,101.0,Moderate
Visakhapatnam,2/4/2017,96.96,170.32,36.16,44.16,52.84,12.37,1.87,20.63,32.07,9.81,18.91,6.84,255.0,Poor
Coimbatore,6/10/2020,19.26,26.95,,48.04,29.73,1.8,0.43,6.12,11.1,0.0,0.0,,35.0,Good
Amaravati,11/7/2018,28.39,71.27,11.5,45.23,33.61,0.3,1.04,10.36,35.14,0.01,0.05,,70.0,Satisfactory
Bhopal,11/5/2019,65.74,157.38,7.58,57.11,36.54,17.61,1.46,9.59,52.59,,,,146.0,Moderate
Talcher,7/29/2019,11.7,38.46,25.02,8.67,32.21,7.49,1.47,35.23,0.9,0.0,,,78.0,Satisfactory
Coimbatore,7/29/2019,37.3,49.5,9.98,17.11,27.08,28.0,1.43,9.65,20.4,0.04,0.0,,76.0,Satisfactory
Delhi,3/18/2015,50.59,95.56,9.32,16.6,21.74,39.16,7.83,3.6,27.5,1.11,4.42,3.67,191.0,Moderate
Ahmedabad,1/24/2016,,,,,,,,,,,,,,
Brajrajnagar,9/26/2019,16.66,33.48,5.66,6.28,7.84,35.82,1.91,8.67,3.75,0.0,,,101.0,Moderate
Visakhapatnam,12/23/2019,80.01,,3.15,33.74,20.51,12.24,1.13,8.9,89.28,4.06,6.8,1.33,154.0,Moderate
Ahmedabad,3/21/2020,74.43,132.17,9.82,31.56,22.73,,9.82,67.89,36.14,,,,296.0,Poor
Bengaluru,4/1/2018,,112.89,3.56,22.45,17.49,,0.86,2.83,,0.0,0.74,,102.0,Moderate
Ahmedabad,8/4/2018,53.64,,22.52,52.64,42.05,,22.52,96.72,2.86,4.54,22.09,0.65,424.0,Severe
Coimbatore,9/29/2019,27.22,33.02,7.78,8.08,15.86,3.26,1.69,10.07,25.24,0.01,0.09,,95.0,Satisfactory
Chennai,9/14/2016,33.01,,5.14,27.52,20.0,,1.13,3.82,16.61,0.83,4.84,,92.0,Satisfactory
Visakhapatnam,1/10/2020,48.07,87.2,2.72,23.06,14.47,10.79,1.02,8.07,55.96,3.36,7.62,1.21,110.0,Moderate
Bengaluru,6/17/2019,25.77,64.03,8.35,21.68,25.92,13.23,0.7,8.36,30.6,1.28,2.92,,61.0,Satisfactory
Jaipur,3/23/2019,34.26,87.27,10.22,34.99,36.6,18.55,0.73,9.85,60.73,0.54,4.44,,90.0,Satisfactory
Patna,3/18/2020,66.68,155.37,62.75,68.05,64.18,20.07,1.57,9.6,27.84,2.72,5.5,0.41,156.0,Moderate
Chandigarh,11/12/2019,113.03,157.15,10.32,13.33,6.5,,0.79,10.7,11.25,64.33,3.32,4.45,270.0,Poor
Mumbai,4/12/2019,22.32,76.97,44.14,20.93,65.09,,1.83,23.7,24.64,1.52,,,96.0,Satisfactory
Chandigarh,1/12/2020,75.8,165.63,17.43,17.6,23.12,24.83,0.92,9.83,6.26,9.58,0.16,0.39,123.0,Moderate
Talcher,4/20/2020,,47.79,6.6,5.53,0.94,13.13,2.37,,69.65,0.0,,,147.0,Moderate
Jorapokhar,1/19/2018,,197.7,10.28,11.84,,6.93,0.31,59.55,23.47,,,,160.0,Moderate
Hyderabad,11/20/2016,61.0,96.5,11.02,63.32,19.38,33.56,0.57,30.3,64.43,0.02,0.57,0.08,122.0,Moderate
Hyderabad,1/22/2018,72.01,142.1,5.81,50.74,31.43,25.72,0.89,9.28,52.29,2.84,16.9,4.31,142.0,Moderate
Chandigarh,6/26/2020,31.84,64.54,0.92,7.4,4.62,29.16,0.31,10.19,43.26,3.53,0.29,0.77,68.0,Satisfactory
Gurugram,3/23/2020,51.38,103.56,7.66,15.96,16.31,56.53,0.81,18.26,50.47,4.55,8.08,18.57,124.0,Moderate
Amaravati,4/17/2019,32.7,91.22,2.19,17.13,10.91,7.6,0.54,15.71,25.28,0.52,2.02,0.18,91.0,Satisfactory
Coimbatore,11/19/2019,28.62,39.01,15.43,31.32,41.45,7.53,0.52,12.8,20.34,0.0,0.0,,54.0,Satisfactory
Ahmedabad,4/8/2018,160.43,,19.45,65.53,46.48,,19.45,49.95,55.47,11.37,31.65,4.75,657.0,Severe
Talcher,11/15/2019,81.36,253.91,6.58,9.3,15.88,5.63,2.2,39.02,13.07,0.0,,,199.0,Moderate
Gurugram,5/1/2019,139.89,395.05,16.74,19.29,28.96,,0.71,4.01,59.08,0.0,0.27,,309.0,Very Poor
Amaravati,1/8/2020,53.32,75.4,1.81,11.47,7.58,16.98,0.64,15.37,53.9,0.55,1.0,0.1,103.0,Moderate
Gurugram,6/28/2017,62.93,,5.95,10.1,,,0.49,3.65,20.32,0.02,1.91,,228.0,Poor
Mumbai,12/18/2016,,,,,,,0.0,,,,,,,
Hyderabad,2/1/2019,66.44,115.34,3.97,45.36,27.13,17.81,0.64,5.43,34.07,2.09,11.14,1.66,131.0,Moderate
Mumbai,1/10/2018,,,,,107.05,,2.43,,,0.0,0.0,0.0,,
Delhi,7/24/2019,63.26,156.93,22.05,40.29,42.88,44.36,1.41,8.83,33.1,2.36,27.06,1.54,165.0,Moderate
Mumbai,2/22/2019,38.3,103.84,37.16,21.65,58.81,,1.85,16.77,56.96,0.78,,,105.0,Moderate
Thiruvananthapuram,7/1/2020,2.0,35.0,1.68,2.3,2.58,5.62,0.42,6.15,22.1,,,,41.0,Good
Kochi,3/25/2020,21.07,31.87,270.09,6.36,218.54,7.0,0.8,23.47,1.42,,0.0,,252.0,Poor
Bengaluru,11/19/2015,21.99,39.86,7.08,16.44,19.51,41.96,1.73,2.95,9.98,1.52,2.38,,103.0,Moderate
Hyderabad,2/28/2020,40.35,103.27,4.75,29.75,19.28,21.13,0.43,6.6,35.27,1.24,11.92,0.46,97.0,Satisfactory
Amaravati,11/9/2019,77.93,128.41,2.23,14.09,9.4,13.92,0.75,20.18,58.79,0.59,4.45,0.19,168.0,Moderate
Mumbai,3/17/2016,,,,,9.7,,0.0,,,0.0,0.0,0.0,,
Gurugram,1/12/2019,182.46,273.91,98.61,57.5,113.81,,1.01,20.71,37.12,0.0,0.0,,348.0,Very Poor
Hyderabad,4/13/2020,35.21,66.35,6.95,18.03,14.06,13.2,0.41,3.48,29.34,0.94,2.5,0.14,68.0,Satisfactory
Amritsar,5/18/2019,31.87,61.91,15.01,9.74,24.64,7.88,1.06,20.38,19.92,3.72,2.19,11.06,76.0,Satisfactory
Amritsar,4/20/2020,16.35,56.92,17.86,12.25,28.27,11.95,0.68,9.64,43.02,1.37,1.54,2.0,51.0,Satisfactory
Bengaluru,4/29/2020,13.68,39.31,2.68,12.02,13.47,10.72,0.74,5.73,30.77,0.22,1.36,,62.0,Satisfactory
Amaravati,6/12/2018,23.43,57.11,5.5,13.82,11.83,10.29,0.79,6.68,46.96,,,,69.0,Satisfactory
Ahmedabad,10/12/2018,116.02,,44.47,98.22,48.04,,44.47,64.62,39.74,3.87,21.26,7.16,914.0,Severe
Talcher,2/22/2018,238.35,529.88,100.62,94.69,195.22,7.69,2.73,72.67,24.42,0.0,0.0,,474.0,Severe
Shillong,2/10/2020,47.14,63.22,0.97,3.03,1.29,3.12,0.58,10.2,35.73,0.43,0.08,,70.0,Satisfactory
Jaipur,3/2/2018,55.62,96.5,10.77,38.45,40.16,25.44,0.76,8.08,56.37,0.75,4.72,,118.0,Moderate
Lucknow,1/6/2020,135.19,,40.05,70.42,69.59,31.18,2.35,15.94,19.15,1.97,27.11,,262.0,Poor
Chennai,2/26/2020,39.25,63.4,5.38,8.88,14.06,39.97,0.58,7.63,39.14,1.4,0.0,,84.0,Satisfactory
Ahmedabad,5/14/2019,46.04,141.54,17.26,130.23,49.54,,17.26,107.28,48.32,8.89,52.6,8.78,,
Mumbai,6/28/2015,,,,,19.04,,0.0,,,0.0,0.0,0.0,,
Chennai,11/11/2018,82.59,,10.61,17.52,25.69,101.08,1.06,12.87,28.45,0.02,0.0,,155.0,Moderate
Ahmedabad,1/28/2019,63.68,,22.56,67.41,28.61,,22.56,37.73,53.12,4.06,32.32,6.93,477.0,Severe
Jorapokhar,2/21/2018,,144.54,8.45,9.39,,6.87,0.33,94.32,47.12,,,,140.0,Moderate
Delhi,11/20/2017,171.34,249.28,24.44,52.73,64.19,36.28,1.3,13.7,54.08,2.38,6.34,0.1,329.0,Very Poor
Jorapokhar,2/23/2019,74.2,138.7,9.3,9.59,,6.32,0.0,,71.76,,,,230.0,Poor
Brajrajnagar,3/9/2020,66.18,39.13,10.16,14.48,8.85,111.94,0.07,5.07,55.49,1.03,,,91.0,Satisfactory
Bengaluru,6/27/2018,11.68,42.25,4.95,15.17,12.58,42.71,1.02,4.87,16.43,0.36,0.93,,60.0,Satisfactory
Amaravati,12/7/2017,117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,0.36,6.21,0.17,252.0,Poor
Gurugram,10/25/2019,117.64,206.1,16.07,45.54,40.2,,0.98,35.03,57.02,2.0,6.0,,308.0,Very Poor
Brajrajnagar,8/5/2019,,,,,,,,,,,,,,
Delhi,3/19/2017,120.43,350.42,80.86,51.65,41.4,43.17,0.81,22.89,31.83,4.4,9.77,,342.0,Very Poor
Hyderabad,6/17/2018,21.99,66.18,2.72,20.32,12.88,15.69,0.57,9.83,19.71,0.24,2.64,0.31,67.0,Satisfactory
Hyderabad,12/11/2017,55.7,117.26,8.39,48.48,32.65,12.57,1.05,22.48,44.73,5.06,25.71,4.75,117.0,Moderate
Patna,1/31/2018,272.9,,31.92,73.46,39.23,,2.83,37.73,50.43,0.62,3.12,1.93,448.0,Severe
Visakhapatnam,2/25/2019,48.26,165.39,16.54,36.7,33.12,14.7,1.11,24.73,12.13,2.47,3.92,0.67,137.0,Moderate
Amritsar,1/4/2020,96.86,134.78,9.35,10.02,19.27,11.99,0.11,8.12,36.13,3.43,3.81,2.0,221.0,Poor
